"scientific_name","family","gbif_records"
"Pica serica serica","Corvidae","32"
"Dicrurus hottentottus (Linnaeus, 1766)","Dicruridae","31"
"Anser cygnoides f. domesticus","Anatidae","30"
"Turdus chrysolaus Temminck, 1832","Turdidae","30"
"Calidris temminckii (Leisler, 1812)","Scolopacidae","30"
"Ninox japonica (Temminck & Schlegel, 1845)","Strigidae","30"
"Pericrocotus tegimae Stejneger, 1887","Campephagidae","29"
"Spilopelia chinensis chinensis","Columbidae","29"
"Hypsipetes amaurotis (Temminck, 1830)","Pycnonotidae","29"
"Lalage melaschistos (Hodgson, 1836)","Campephagidae","29"
"Calidris falcinellus (Pontoppidan, 1763)","Scolopacidae","28"
"Limosa lapponica (Linnaeus, 1758)","Scolopacidae","28"
"Phylloscopus examinandus Stresemann, 1913","Phylloscopidae","28"
"Aerodramus brevirostris (Horsfield, 1840)","Apodidae","28"
"Rallus indicus Blyth, 1849","Rallidae","27"
"Carpodacus erythrinus (Pallas, 1770)","Fringillidae","27"
"Columba livia var. domestica J.F.Gmelin, 1789","Columbidae","26"
"Cuculus poliocephalus Latham, 1790","Cuculidae","25"
"Eudynamys scolopaceus (Linnaeus, 1758)","Cuculidae","24"
"Monticola gularis (Swinhoe, 1863)","Muscicapidae","24"
"Calidris ferruginea (Pontoppidan, 1763)","Scolopacidae","24"
"Pernis ptilorhynchus (Temminck, 1821)","Accipitridae","23"
"Tringa brevipes (Vieillot, 1816)","Scolopacidae","23"
"Lonchura striata swinhoei (Cabanis, 1882)","Estrildidae","23"
"Falco tinnunculus interstinctus McClelland, 1840","Falconidae","23"
"Helopsaltes pryeri (Seebohm, 1884)","Locustellidae","23"
"Nettapus coromandelianus (J.F.Gmelin, 1789)","Anatidae","22"
"Dicrurus leucophaeus Vieillot, 1817","Dicruridae","22"
"Gallinula chloropus chloropus","Rallidae","22"
"Phylloscopus plumbeitarsus Swinhoe, 1861","Phylloscopidae","22"
"Arenaria interpres (Linnaeus, 1758)","Scolopacidae","22"
"Anser fabalis (Latham, 1787)","Anatidae","22"
"Bombycilla garrulus (Linnaeus, 1758)","Bombycillidae","21"
"Larus schistisagus Stejneger, 1884","Laridae","21"
"Corvus frugilegus Linnaeus, 1758","Corvidae","21"
"Tadorna ferruginea (Pallas, 1764)","Anatidae","21"
"Falco amurensis Radde, 1863","Falconidae","21"
"Motacilla cinerea cinerea","Motacillidae","21"
"Passer montanus saturatus Stejneger, 1885","Passeridae","20"
"Emberiza sulphurata Temminck & Schlegel, 1848","Emberizidae","20"
"Pterorhinus pectoralis (Gould, 1836)","Leiothrichidae","20"
"Hypsipetes leucocephalus (Gmelin, 1789)","Pycnonotidae","20"
"Terpsiphone incei (Gould, 1852)","Monarchidae","20"
"Anser albifrons (Scopoli, 1769)","Anatidae","20"
"Nycticorax nycticorax nycticorax","Ardeidae","20"
"Accipiter gentilis (Linnaeus, 1758)","Accipitridae","19"
"Hierococcyx sparverioides (Vigors, 1832)","Cuculidae","19"
"Halcyon pileata (Boddaert, 1783)","Alcedinidae","19"
"Pardaliparus venustulus (Swinhoe, 1870)","Paridae","19"
"Alcedo atthis bengalensis J.F.Gmelin, 1788","Alcedinidae","19"
"Ixobrychus eurhythmus (Swinhoe, 1873)","Ardeidae","18"
"Calidris canutus (Linnaeus, 1758)","Scolopacidae","18"
"Zosterops erythropleurus Swinhoe, 1863","Zosteropidae","18"
"Clamator coromandus (Linnaeus, 1766)","Cuculidae","18"
"Emberiza schoeniclus (Linnaeus, 1758)","Emberizidae","18"
"Gorsachius goisagi (Temminck, 1836)","Ardeidae","18"
"Podiceps nigricollis C.L.Brehm, 1831","Podicipedidae","17"
"Anas platyrhynchos f. domesticus","Anatidae","17"
"Tachybaptus ruficollis poggei (Reichenow, 1902)","Podicipedidae","17"
"Anthus spinoletta (Linnaeus, 1758)","Motacillidae","17"
"Riparia riparia (Linnaeus, 1758)","Hirundinidae","17"
"Otus sunia (Hodgson, 1836)","Strigidae","17"
"Delichon dasypus (Bonaparte, 1850)","Hirundinidae","16"
"Buteo hemilasius Temminck & Schlegel, 1844","Accipitridae","16"
"Larus argentatus mongolicus Sushkin, 1925","Laridae","16"
"Hydroprogne caspia (Pallas, 1770)","Laridae","16"
"Anser anser (Linnaeus, 1758)","Anatidae","16"
"Larvivora akahige (Temminck, 1835)","Muscicapidae","16"
"Parus major Linnaeus, 1758","Paridae","15"
"Falco columbarius Linnaeus, 1758","Falconidae","15"
"Cuculus micropterus micropterus","Cuculidae","15"
"Bubulcus coromandus (Boddaert, 1783)","Ardeidae","14"
"Gallinago stenura (Bonaparte, 1831)","Scolopacidae","14"
"Eudynamys scolopaceus chinensis Cabanis & Heine, 1863","Cuculidae","14"
"Garrulax canorus (Linnaeus, 1758)","Leiothrichidae","14"
"Numenius minutus Gould, 1841","Scolopacidae","14"
"Dendrocitta formosae Swinhoe, 1863","Corvidae","14"
"Culicicapa ceylonensis (Swainson, 1820)","Stenostiridae","14"
"Emberiza yessoensis (Swinhoe, 1874)","Emberizidae","13"
"Ixobrychus cinnamomeus (Gmelin, 1789)","Ardeidae","13"
"Sturnus vulgaris Linnaeus, 1758","Sturnidae","13"
"Picumnus innominatus chinensis (Hargitt, 1881)","Picidae","13"
"Phalaropus lobatus (Linnaeus, 1758)","Scolopacidae","13"
"Onychoprion anaethetus (Scopoli, 1786)","Laridae","13"
"Turdus ruficollis Pallas, 1776","Turdidae","13"
"Bambusicola thoracicus (Temminck, 1815)","Phasianidae","12"
"Sinosuthora webbiana webbiana","Sylviidae","12"
"Calidris alba (Pallas, 1764)","Scolopacidae","12"
"Yungipicus canicapillus (Blyth, 1845)","Picidae","12"
"Hemixos castanonotus Swinhoe, 1870","Pycnonotidae","12"
"Phoenicurus leucocephalus Vigors, 1831","Muscicapidae","11"
"Ixobrychus flavicollis (Latham, 1790)","Ardeidae","11"
"Coturnix coturnix (Linnaeus, 1758)","Phasianidae","11"
"Aythya nyroca (Güldenstädt, 1770)","Anatidae","11"
"Aythya marila (Linnaeus, 1761)","Anatidae","11"
"Aegithalos concinnus concinnus","Aegithalidae","11"
"Anthus gustavi Swinhoe, 1863","Motacillidae","11"
"Prinia inornata extensicauda (Swinhoe, 1860)","Cisticolidae","10"
"Acridotheres cristatellus cristatellus","Sturnidae","10"
"Circus melanoleucos (Pennant, 1769)","Accipitridae","10"
"Hypothymis azurea (Boddaert, 1783)","Monarchidae","10"
"Sittiparus varius varius","Paridae","10"
"Phylloscopus schwarzi (Radde, 1863)","Phylloscopidae","10"
"Limnodromus semipalmatus (Blyth, 1848)","Scolopacidae","10"
"Hirundapus caudacutus (Latham, 1801)","Apodidae","10"
"Calidris pugnax (Linnaeus, 1758)","Scolopacidae","10"
"Limnodromus scolopaceus (Say, 1822)","Scolopacidae","9"
"Acridotheres tristis (Linnaeus, 1766)","Sturnidae","9"
"Zosterops japonicus Temminck & Schlegel, 1845","Zosteropidae","9"
"Cyanopica cyanus swinhoei Hartert, 1903","Corvidae","8"
"Cairina moschata (Linnaeus, 1758)","Anatidae","8"
"Ichthyaetus ichthyaetus (Pallas, 1773)","Laridae","8"
"Periparus ater (Linnaeus, 1758)","Paridae","8"
"Tringa guttifer (Nordmann, 1835)","Scolopacidae","8"
"Limosa limosa melanuroides Gould, 1846","Scolopacidae","8"
"Chloris sinica sinica","Fringillidae","8"
"Emberiza elegans elegans","Emberizidae","8"
"Emberiza leucocephala S.G.Gmelin, 1771","Emberizidae","8"
"Pericrocotus solaris Blyth, 1846","Campephagidae","7"
"Ciconia boyciana Swinhoe, 1873","Ciconiidae","7"
"Cuculus canorus canorus","Cuculidae","7"
"Ficedula parva (Bechstein, 1792)","Muscicapidae","7"
"Larus argentatus vegae Palmén, 1887","Laridae","7"
"Locustella lanceolata (Temminck, 1840)","Locustellidae","7"
"Mergellus albellus (Linnaeus, 1758)","Anatidae","7"
"Antigone vipio (Pallas, 1811)","Gruidae","7"
"Pericrocotus speciosus (Latham, 1790)","Campephagidae","7"
"Prunella collaris erythropygia (Swinhoe, 1870)","Prunellidae","7"
"Agropsar sturninus (Pallas, 1776)","Sturnidae","7"
"Sibirionetta formosa (Georgi, 1775)","Anatidae","7"
"Thalasseus bernsteini (Schlegel, 1863)","Laridae","7"
"Turdus mupinensis Laubmann, 1920","Turdidae","7"
"Thalasseus bergii (M.H.K.Lichtenstein, 1823)","Laridae","6"
"Antigone canadensis (Linnaeus, 1758)","Gruidae","6"
"Charadrius hiaticula Linnaeus, 1758","Charadriidae","6"
"Pelecanus crispus Bruch, 1832","Pelecanidae","6"
"Streptopelia orientalis orientalis","Columbidae","6"
"Hierococcyx hyperythrus (Gould, 1856)","Cuculidae","6"
"Sturnia sinensis (Gmelin, 1788)","Sturnidae","6"
"Phylloscopus ricketti (Slater, 1897)","Phylloscopidae","6"
"Muscicapa dauurica dauurica","Muscicapidae","5"
"Amaurornis phoenicurus phoenicurus","Rallidae","5"
"Helopsaltes ochotensis (Middendorff, 1853)","Locustellidae","5"
"Zapornia akool (Sykes, 1832)","Rallidae","5"
"Arundinax aedon (Pallas, 1776)","Acrocephalidae","5"
"Phoenicurus auroreus auroreus","Muscicapidae","5"
"Podiceps auritus (Linnaeus, 1758)","Podicipedidae","5"
"Centropus bengalensis lignator Swinhoe, 1861","Cuculidae","5"
"Gallinago megala Swinhoe, 1861","Scolopacidae","5"
"Fulica atra atra","Rallidae","5"
"Myophonus caeruleus (Scopoli, 1786)","Muscicapidae","5"
"Abroscopus albogularis fulvifacies (Swinhoe, 1870)","Cettiidae","5"
"Gavia stellata (Pontoppidan, 1763)","Gaviidae","5"
"Riparia diluta (Sharpe & Wyatt, 1893)","Hirundinidae","5"
"Emberiza spodocephala spodocephala","Emberizidae","5"
"Bucephala clangula (Linnaeus, 1758)","Anatidae","5"
"Apus nipalensis (Hodgson, 1837)","Apodidae","5"
"Aythya baeri (Radde, 1863)","Anatidae","5"
"Motacilla alba ocularis Swinhoe, 1860","Motacillidae","5"
"Cyanopica cyanus cyanus","Corvidae","5"
"Motacilla citreola Pallas, 1776","Motacillidae","5"
"Paradoxornis webbianus (Gould, 1852)","Sylviidae","5"
"Larus glaucescens J.F.Naumann, 1840","Laridae","4"
"Pericrocotus speciosus fohkiensis Buturlin, 1910","Campephagidae","4"
"Calidris pygmaea (Linnaeus, 1758)","Scolopacidae","4"
"Anser indicus (Latham, 1790)","Anatidae","4"
"Syrrhaptes paradoxus (Pallas, 1773)","Pteroclididae","4"
"Phylloscopus claudiae (La Touche, 1922)","Phylloscopidae","4"
"Asio flammeus (Pontoppidan, 1763)","Strigidae","4"
"Pitta nympha Temminck & Schlegel, 1850","Pittidae","4"
"Motacilla alba lugens Gloger, 1829","Motacillidae","4"
"Lanius schach schach","Laniidae","4"
"Chroicocephalus saundersi Swinhoe, 1871","Laridae","4"
"Cygnus cygnus (Linnaeus, 1758)","Anatidae","4"
"Hemixos castanonotus canipennis Seebohm, 1890","Pycnonotidae","4"
"Calonectris leucomelas (Temminck, 1836)","Procellariidae","4"
"Troglodytes troglodytes (Linnaeus, 1758)","Troglodytidae","4"
"Regulus regulus japonensis Blakiston, 1862","Regulidae","4"
"Haematopus ostralegus Linnaeus, 1758","Haematopodidae","4"
"Pyrrhocorax pyrrhocorax (Linnaeus, 1758)","Corvidae","4"
"Grus japonensis (Statius Muller, 1776)","Gruidae","4"
"Corvus pectoralis Gould, 1836","Corvidae","4"
"Accipiter gularis gularis","Accipitridae","3"
"Cygnus olor (J.F.Gmelin, 1789)","Anatidae","3"
"Lalage melaschistos intermedia (Hume, 1877)","Campephagidae","3"
"BOLD:AAD6830","Sylviidae","3"
"Lewinia striata (Linnaeus, 1766)","Rallidae","3"
"Cyornis brunneatus (H.H.Slater, 1897)","Muscicapidae","3"
"Buteo japonicus japonicus","Accipitridae","3"
"Helopsaltes pryeri sinensis (Witherby, 1912)","Locustellidae","3"
"Ardea intermedia intermedia","Ardeidae","3"
"Oenanthe deserti (Temminck, 1825)","Muscicapidae","3"
"Mergus squamatus Gould, 1864","Anatidae","3"
"Poecile palustris (Linnaeus, 1758)","Paridae","3"
"Aegithalos glaucogularis glaucogularis","Aegithalidae","3"
"Agropsar philippensis (J.R.Forster, 1781)","Sturnidae","3"
"Accipiter trivirgatus indicus (Hodgson, 1836)","Accipitridae","3"
"Larus vegae Palmén, 1887","Laridae","3"
"Coccothraustes coccothraustes coccothraustes","Fringillidae","3"
"Charadrius veredus Gould, 1848","Charadriidae","3"
"Rostratula benghalensis (Linnaeus, 1758)","Rostratulidae","3"
"Paradoxornis heudei David, 1872","Sylviidae","3"
"Prunella montanella (Pallas, 1776)","Prunellidae","3"
"Aquila fasciata Vieillot, 1822","Accipitridae","3"
"Charadrius dubius curonicus J.F.Gmelin, 1789","Charadriidae","3"
"Suthora webbiana webbiana","Sylviidae","3"
"Asio otus (Linnaeus, 1758)","Strigidae","3"
"Caprimulgus jotaka jotaka","Caprimulgidae","3"
"Phylloscopus trochilus (Linnaeus, 1758)","Phylloscopidae","3"
"Horornis fortipes davidianus (J.Verreaux, 1870)","Cettiidae","3"
